condition,park_id,name,area_m2,greenspace_type,mean_woody,mean_grass,total_veg_idx,woody_ratio,grass_ratio,structure_cat,clase,comuna,temp_am_c,temp_af_c,temp_pm_c,area_ha,stgohot_decile_mean,woody_decile,temp_decile,length_decile,priority_score,sampling_priority
Good condition,169,PLAZA JARDÍN ANDINO,5224.35188402,Lawn Park,0.07241218537092209,0.030195126309990883,0.10260731168091297,0.7050343757014049,0.2939919837820302,High Woody Cover,PLAZA,LA FLORIDA,19.125259399414062,31.92091178894043,28.537548065185547,0.52,7,3,3,NA,3,P4 — Grass + Cool
Good condition,74,PLAZA RAUL DEVES,6667.72648604,Lawn Park,0.08273405581712723,0.03499274700880051,0.11772680282592773,0.7021666873143878,0.2969846093549469,High Woody Cover,PLAZA,VITACURA,19.351728439331055,31.077848434448242,29.400165557861328,0.67,7,3,2,NA,2.5,P4 — Grass + Cool
Good condition,101,PLAZA 12 DE OCTUBRE,8915.51680386,Lawn Park,0.06422625482082367,0.02793765254318714,0.09216390736401081,0.6961146200694754,0.30280153248836633,High Woody Cover,PLAZA,SAN MIGUEL,19.903234481811523,31.7026424407959,28.792644500732422,0.89,7,2,3,NA,2.5,P4 — Grass + Cool
Good condition,508,Plaza San Matías 2,8386.26216681,Lawn Park,0.06464135646820068,0.02664848230779171,0.0912898387759924,0.7073144819375873,0.29159130451154835,High Woody Cover,PLAZA,LA PINTANA,18.373384475708008,30.85015869140625,28.502302169799805,0.84,6,4,1,NA,2.5,P5 — Intermediate
Good condition,4,SANTUARIO DE LA INMACULADA CONCEPCION,6241.05463016,Lawn Park,0.06583241373300552,0.028401203453540802,0.09423361718654633,0.6978680103278644,0.30107192219054785,High Woody Cover,PLAZA,SAN RAMON,19.704593658447266,31.404184341430664,29.790782928466797,0.62,7,2,2,NA,2,P4 — Grass + Cool
Good condition,96,PLAZA SANTA MARIA,7133.74464407,Lawn Park,0.070066437125206,0.03108147718012333,0.10114791430532932,0.6920284492370817,0.30698387609637223,High Woody Cover,PLAZA,RENCA,18.990928649902344,32.037418365478516,29.799999237060547,0.71,7,1,3,NA,2,P4 — Grass + Cool
Good condition,19,PLAZA LA BANDERA,9641.85061733,Lawn Park,0.08435168117284775,0.038944825530052185,0.12329650670289993,0.6835824078548685,0.31560719643238444,High Woody Cover,PLAZA,SAN RAMON,19.55987548828125,31.718591690063477,29.804237365722656,0.96,7,1,2,NA,1.5,P4 — Grass + Cool
Good condition,68,PLAZA CORTE DE APELACIONES,8534.1868665,Lawn Park,0.07127754390239716,0.03177037462592125,0.1030479185283184,0.6910226102413157,0.3080079082468247,High Woody Cover,PLAZA,VITACURA,18.23521614074707,31.179229736328125,29.53652572631836,0.85,7,1,2,NA,1.5,P4 — Grass + Cool
Good condition,94,PLAZA COLOMBIA,5969.4491842,Lawn Park,0.07937261462211609,0.034494392573833466,0.11386700719594955,0.6964525661856376,0.30266998688949875,High Woody Cover,PLAZA,VITACURA,17.40363121032715,30.868131637573242,28.499998092651367,0.6,6,2,1,NA,1.5,P4 — Grass + Cool
Good condition,80,PLAZA BRASILIA,5909.06234585,Lawn Park,0.07814867794513702,0.04099777340888977,0.1191464513540268,0.6553543275944039,0.3438070730270443,High Woody Cover,PLAZA,VITACURA,17.116294860839844,31.089580535888672,29.112590789794922,0.59,6,1,1,NA,1,P4 — Grass + Cool
